file,type_Bug,type_Dark,type_Dragon,type_Electric,type_Fairy,type_Fighting,type_Fire,type_Flying,type_Ghost,type_Grass,type_Ground,type_Ice,type_Normal,type_Poison,type_Psychic,type_Rock,type_Steel,type_Water
0001.png,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0002.png,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0003.png,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0004.png,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0005.png,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0006.png,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
0007.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0008.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0009.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0010.png,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0011.png,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0012.png,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0013.png,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0014.png,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0015.png,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0016.png,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0017.png,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0018.png,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0019.png,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0020.png,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0021.png,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0022.png,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0023.png,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0024.png,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0025.png,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0026.png,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0027.png,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0028.png,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0029.png,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0030.png,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0031.png,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0032.png,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0033.png,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0034.png,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0035.png,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0036.png,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0037.png,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0038.png,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0039.png,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0040.png,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0041.png,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0042.png,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0043.png,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0044.png,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0045.png,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0046.png,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0047.png,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
